From Verse	To Verse	Votes	#www.openbible.info CC-BY 2026-09-07
Gen.1.1	Exod.20.11	154
Gen.1.1	Jer.51.15	89
Gen.1.1	Heb.1.10	190
Gen.1.1	Ps.121.2	65
Gen.1.1	Ps.115.15	82
Gen.1.1	Job.38.4	147
Gen.1.1	Isa.44.24	97
Gen.1.1	1Chr.16.26	58
Gen.1.1	Isa.40.28	67
Gen.1.1	John.1.1-John.1.3	378
Gen.1.1	Eph.3.9	54
Gen.1.1	1Cor.8.6	73
Gen.1.1	Isa.42.5	161
Gen.1.1	Isa.65.17	57
Gen.1.1	Rev.14.7	81
Gen.1.1	Ps.124.8	71
Gen.1.1	Prov.8.22-Prov.8.30	76
Gen.1.1	Ps.33.6	68
Gen.1.1	Ps.89.11-Ps.89.12	63
Gen.1.1	Jer.10.12	77
Gen.1.1	Acts.17.24	132
Gen.1.1	Rev.4.11	205
Gen.1.1	Isa.51.16	61
Gen.1.1	Isa.45.18	251
Gen.1.1	Matt.11.25	17
Gen.1.1	Ps.96.5	62
Gen.1.1	Prov.16.4	65
Gen.1.1	Job.26.13	42
Gen.1.1	Exod.31.18	-38
Gen.1.1	Jer.32.17	90
Gen.1.1	Heb.11.3	275
Gen.1.1	Ps.8.3	75
Gen.1.1	Ps.90.2	62
Gen.1.1	Ps.148.4-Ps.148.5	59
Gen.1.1	Ps.104.24	65
Gen.1.1	Ps.146.6	60
Gen.1.1	1John.1.1	59
Gen.1.1	Mark.13.19	58
Gen.1.1	Heb.3.4	68
Gen.1.1	Ps.33.9	87
Gen.1.1	Eccl.12.1	27
Gen.1.1	Rev.10.6	62
Gen.1.1	Rev.22.13	60
Gen.1.1	Rev.21.6	58
Gen.1.1	Zech.12.1	67
Gen.1.1	2Pet.3.5	106
Gen.1.1	Rom.11.36	62
Gen.1.1	Rev.3.14	47
Gen.1.1	Ps.104.30	60
Gen.1.1	Col.1.16-Col.1.17	173
Gen.1.1	Acts.4.24	62
Gen.1.1	Acts.14.15	78
Gen.1.1	Ps.136.5	78
Gen.1.1	Prov.3.19	87
Gen.1.1	Isa.51.13	56
Gen.1.1	Neh.9.6	100
Gen.1.1	Heb.1.2	68
Gen.1.1	Rom.1.19-Rom.1.20	59
Gen.1.1	Isa.37.16	63
Gen.1.1	Ps.102.25	72
Gen.1.1	Ps.134.3	60
Gen.1.1	Isa.40.26	59
Gen.1.2	Isa.45.18	67
Gen.1.2	Job.26.7	44
Gen.1.2	Jer.4.23	101
Gen.1.2	Isa.40.12-Isa.40.14	34
Gen.1.2	Ps.104.30	75
Gen.1.2	Ps.33.6	51
Gen.1.2	Nah.2.10	-26
Gen.1.2	Job.26.14	10
Gen.1.3	1Tim.6.16	22
Gen.1.3	Ps.118.27	21
Gen.1.3	Job.38.19	23
Gen.1.3	Ps.148.5	28
Gen.1.3	Job.36.30	17
Gen.1.3	1John.2.8	24
Gen.1.3	John.11.43	-5
Gen.1.3	1John.1.5	44
Gen.1.3	2Cor.4.6	81
Gen.1.3	Isa.60.19	48
Gen.1.3	Ps.104.2	23
Gen.1.3	John.3.19	34
Gen.1.3	Ps.33.9	29
Gen.1.3	Ps.33.6	30
Gen.1.3	John.1.9	31
Gen.1.3	Ps.97.11	32
Gen.1.3	John.1.5	68
Gen.1.3	Isa.45.7	56
Gen.1.3	Matt.8.3	-5
Gen.1.3	Eph.5.8	38
Gen.1.3	Eph.5.14	24
Gen.1.4	Gen.1.12	7
Gen.1.4	Gen.1.31	8
Gen.1.4	Eccl.11.7	20
Gen.1.4	Gen.1.25	3
Gen.1.4	Gen.1.18	20
Gen.1.4	Gen.1.10	4
Gen.1.4	Eccl.2.13	23
Gen.1.5	Gen.1.19	6
Gen.1.5	Ps.19.2	10
Gen.1.5	Gen.1.13	6
Gen.1.5	1Thess.5.5	16
Gen.1.5	Gen.1.8	10
Gen.1.5	Gen.1.31	7
Gen.1.5	Isa.45.7	19
Gen.1.5	Ps.104.20	16
Gen.1.5	1Cor.3.13	8
Gen.1.5	Eph.5.13	9
Gen.1.5	Gen.8.22	11
Gen.1.5	Gen.1.23	7
Gen.1.5	Ps.74.16	25
Gen.1.5	Jer.33.20	10
Gen.1.6	Ps.104.2	11
Gen.1.6	Jer.51.15	17
Gen.1.6	Gen.1.20	5
Gen.1.6	Ps.33.9	9
Gen.1.6	Ps.33.6	16
Gen.1.6	Ps.136.5-Ps.136.6	9
Gen.1.6	Job.38.22-Job.38.26	2
Gen.1.6	Jer.10.12-Jer.10.13	14
Gen.1.6	Gen.7.11-Gen.7.12	4
Gen.1.6	Job.37.18	16
Gen.1.6	Job.26.7-Job.26.8	15
Gen.1.6	Job.37.11	3
Gen.1.6	Jer.10.10	-2
Gen.1.6	Gen.1.14	2
Gen.1.6	Job.26.13	4
Gen.1.6	Ps.19.1	8
Gen.1.6	Ps.148.4	10
Gen.1.6	Eccl.11.3	2
Gen.1.6	Ps.150.1	5
Gen.1.6	Zech.12.1	6
Gen.1.7	Gen.1.11	-3
Gen.1.7	Job.38.8-Job.38.11	4
Gen.1.7	Gen.1.24	-2
Gen.1.7	Gen.1.9	3
Gen.1.7	Job.26.8	2
Gen.1.7	Ps.104.10	-4
Gen.1.7	Matt.8.27	6
Gen.1.7	Ps.148.4	14
Gen.1.7	Prov.8.28-Prov.8.29	14
Gen.1.7	Gen.1.15	0
Gen.1.7	Eccl.11.3	-3
Gen.1.8	Gen.5.2	-3
Gen.1.8	Gen.1.19	-2
Gen.1.8	Gen.1.13	-3
Gen.1.8	Gen.1.10	-3
Gen.1.8	Gen.1.31	-3
