# Pronunciations for the offline neural voice (KOKORO_G2P_LEXICON).
# Generated by `npm run build:g2p`; do not edit by hand.
# Archaic verb forms and biblical names the voice would otherwise spell
# out letter by letter. Format: word<TAB>IPA
abagtha	ɐˈbæɡθɑː
abda	ˈɑbdɑː
abdi	ˈɑbdi
abhorreth	ɐbhˈɔːɹəθ
abi	ˈɐbaɪ
abia	ɐˈbaɪɐ
abiah	ɐˈbaɪɐ
abiathar	ɐˈbaɪɐθɑːɹ
abidah	ɐˈbaɪdɑː
abidan	ɐˈbaɪdæn
abideth	ɐbˈaɪdəθ
abiel	ˈɐbaɪɛl
abigal	ˈɑbaɪɡæl
abihail	ˈɑbaɪhæl
abihu	ɐˈbaɪhuː
abihud	ɐˈbaɪhʌd
abijah	ɐˈbaɪjɑː
abijam	ɐˈbaɪdʒæm
abimael	ɐˈbɪmɐɛl
abinadab	ɐˈbɪnɐdæb
abinoam	ɐˈbɪnoʊɐm
abishag	ˈɑbaɪʃæɡ
abishai	ˈɑbaɪʃi
abishua	ɐˈbɪʃjuːɐ
abisue	ɐˈbɪsjuːiː
abitub	ˈɑbaɪtʌb
abodest	ɐbˈoʊdᵻst
abronah	ɐˈbɹoʊnɑː
acceptest	ɐksˈɛptᵻst
acco	ˈækoʊ
accountest	ɐkˈaʊntᵻst
achaia	ɐˈkɑːjɐ
achitob	ˈækaɪtɑːb
acknowledgeth	ɐknˈɑːlɪdʒəθ
acquireth	ɐkwˈaɪɚɹəθ
adah	ˈɐdɑː
adbeel	ˈædbiːɛl
addest	ˈædᵻst
addi	ˈædaɪ
addo	ˈædoʊ
ader	ˈɐdɛɹ
adhereth	ɐdhˈɪɹəθ
adina	ˈædaɪnɑː
adithaim	ædaɪˈθɑːɪm
adjureth	ɐdʒjˈʊɹəθ
adna	ˈædnɑː
adonibezek	ɐduːnaɪˈbiːzɛk
adonijah	ædoʊˈnaɪjɑː
adonikam	ædoʊˈnaɪkæm
adramyttium	ædɹɑˈmɪtaɪʌm
adummim	ɐˈdʌmɪm
advanceth	ɐdvˈænsəθ
advantageth	ɐdvˈæntɪdʒəθ
afflictest	ɐflˈɪktᵻst
agur	ˈɐɡʊɹ
aher	ˈɐhɜː
ahiezer	ɐhaɪˈiːzɜː
ahimaaz	ɐhaɪˈmɑːæz
ahimelech	ɐˈhɪmiːlɛk
ahinadab	ɐˈhɪnɐdæb
ahio	ɐˈhaɪoʊ
ahiramite	ɐˈhaɪɹæmɪɾ
ahishar	ɐˈhɪʃɑːɹ
ahohite	ɐˈhoʊhɪt
aiah	ˈɐjɐ
aija	ɐˈaɪjɑː
akrabbim	ækˈɹæbɪm
alammelech	ɐˈlæmiːlɛk
allammelech	ɐˈlæmiːlɛk
allureth	ɐlˈʊɹəθ
almodad	ælˈmoʊdæd
aloth	ˈɐlɑːθ
amam	ˈɐmæm
aman	ˈɐmæn
amasiah	ɐmɐˈsiːɐ
aminadab	ɐˈmɪnɐdæb
amminadab	ɐˈmɪnɐdæb
amminadib	ɐˈmɪnɐdɪb
amon	ˈɐmOn
amongest	ɐmˈʌŋᵻst
ampliatus	ɐmplaɪˈɐtuːz
anab	ˈɐnæb
anah	ˈɐnɑː
anaharath	ɐˈnɑːhɑːɹæθ
anaiah	ɐnɐˈaɪɐ
anammelech	ɐˈnɑmiːlɛk
anathothite	ˈɐnɐθɔθɪɾ
anethothite	ˈɐniːθɔθɪɾ
announceth	ɐnˈaʊnsəθ
anointest	ɐnˈɔɪntᵻst
answerest	ˈænsɚɹᵻst
antipatris	ɐnˈtɪpɐtɹɪs
anub	ˈɐnʌb
apharsites	ɐˈfɑːɹsɪts
aphekah	ɐˈfiːkɑː
aphiah	ɐˈfaɪɐ
appeaseth	ɐpˈiːzəθ
appereth	ɐpˈɜːɹəθ
appointest	ɐpˈɔɪntᵻst
approachest	ɐpɹˈoʊtʃᵻst
approveth	ɐpɹˈuːvəθ
arah	ˈɐɹɑ
aram	ˈɐɹæm
araunah	ɐˈɹoʊnɑː
arbathite	ˈɑːɹbæθɪɾ
argueth	ˈɑːɹɡjuːəθ
aridatha	ɑːɹaɪˈdɑːθɑː
arimathaea	ɑːɹaɪmɑːˈðiɐ
arioch	ˈɑːɹaɪOkA
arisai	ˈɑːɹaɪsaɪ
ariseth	ɚɹˈaɪzəθ
aristobulus	ɑːɹɪztəˈbuːluːz
